VENDORORGANIZATIONNAME,ADDRESSLOCATIONROLES,VENDORACCOUNTNUMBER,FORMATTEDADDRESS,ADDRESSCITY,ADDRESSCOUNTRYREGIONID,ADDRESSCOUNTYID,ADDRESSDESCRIPTION,ADDRESSLOCATIONID,ADDRESSSTATEID,ADDRESSSTREET,ADDRESSSTREETNUMBER,ADDRESSVALIDFROM,ADDRESSVALIDTO,ADDRESSZIPCODE,DATAAREAID
"WESLEY COMMUNITY CENTER - ROBSTOWN, INC",Business;Remit to,V004718,"PO BOX 7099
CORPUS CHRISTI, TX  78467-7099",CORPUS CHRISTI,USA,,"WESLEY COMMUNITY CENTER - ROBSTOWN, INC",L000033368,TX,PO BOX 7099,,12/20/2019 05:11:03,12/31/2154 23:59:59,78467-7099,101
WEST VIRGINIA STATE AUDITOR'S OFFICE,Business;Remit to,V004719,"1900 KANAWHA BLVD E BLDG 1 RM W116
CHARLESTON, WV  25305-0230",CHARLESTON,USA,,WEST VIRGINIA STATE AUDITOR'S OFFICE: PUBLIC UTILITIES DIVIS,L000033370,WV,1900 KANAWHA BLVD E BLDG 1 RM W116,,12/20/2019 05:11:05,12/31/2154 23:59:59,25305-0230,101
WESTERN ALLIANCE FOR ECONOMIC DEVELOPMENT,Business;Remit to,V004720,"PO BOX 41
WILDER, ID  83676-0041",WILDER,USA,,WESTERN ALLIANCE FOR ECONOMIC DEVELOPMENT,L000033372,ID,PO BOX 41,,12/20/2019 05:11:07,12/31/2154 23:59:59,83676-0041,101
WESTERN CONSTRUCTION INC,Invoice;Remit to,V004721,"PO BOX 15569
BOISE, ID  83715-5569",BOISE,USA,,WESTERN CONSTRUCTION INC,L000036295,ID,PO BOX 15569,,12/20/2019 05:11:09,12/31/2154 23:59:59,83715-5569,101
WESTERN CONSTRUCTION INC,Business;Remit to,V004721,"10139 S FEDERAL WAY
BOISE, ID  83716-9636",BOISE,USA,,WESTERN CONSTRUCTION INC,L000033374,ID,10139 S FEDERAL WAY,,03/19/2018 14:31:25,12/31/2154 16:59:59,83716-9636,101
WESTERN MATERIALS CORP,Remit to,V004723,"PO BOX 430
YAKIMA, WA  98907-0430",YAKIMA,USA,,WESTERN MATERIALS CORP,L000036296,WA,PO BOX 430,,03/19/2018 14:43:47,12/31/2154 16:59:59,98907-0430,101
"WESTERN PETERBILT, LLC",Remit to,V004724,"PO BOX 35144 #1022
SEATTLE, WA  98124-5144",SEATTLE,USA,,"WESTERN PETERBILT, LLC",L000071030,WA,PO BOX 35144 #1022,,03-02-2020 15:50,12/31/2154 23:59:59,98124-5144,101
"WESTERN PETERBILT, LLC",Remit to,V004724,"PO BOX 24065
SEATTLE, WA  98124-0065",SEATTLE,USA,,"WESTERN PETERBILT, LLC",L000036297,WA,PO BOX 24065,,03/19/2018 14:43:47,12/31/2154 16:59:59,98124-0065,101
WESTERN RECORDS DESTRUCTION,Business;Remit to,V004725,"1990 S COLE RD
BOISE, ID  83709-2813",BOISE,USA,,WESTERN RECORDS DESTRUCTION,L000033382,ID,1990 S COLE RD,,12/20/2019 05:11:15,12/31/2154 23:59:59,83709-2813,101
WESTERN STATES EQUIPMENT,Remit to,V004726,"PO BOX 3805
SEATTLE, WA  98124-3805",SEATTLE,USA,,WESTERN STATES EQUIPMENT,L000036298,WA,PO BOX 3805,,03/19/2018 14:43:47,12/31/2154 16:59:59,98124-3805,101
WESTERN TECHNOLOGIES INC,Business;Remit to,V004728,"3737 EAST BROADWAY ROAD
PHOENIX, AZ  85040",PHOENIX,USA,,WESTERN TECHNOLOGIES INC,L000033388,AZ,3737 EAST BROADWAY ROAD,,06/24/2022 11:56:31,12/31/2154 23:59:59,85040,101
WITTEN TIRE CO LLC,Business;Remit to,V004736,"1301 E HIGHWAY 372
PAHRUMP, NV  89048-4625",PAHRUMP,USA,,WITTEN TIRE CO LLC: DBA BIG O TIRES LLC,L000033402,NV,1301 E HIGHWAY 372,,12/20/2019 05:05:34,12/31/2154 23:59:59,89048-4625,101
YANKE MACHINE SHOP INC,Business;Remit to,V004743,"PO BOX 5405
BOISE, ID  83705-0405",BOISE,USA,,YANKE MACHINE SHOP INC,L000033416,ID,PO BOX 5405,,12/20/2019 05:05:35,12/31/2154 23:59:59,83705-0405,101
YELLOW IRON PRODUCTS LLC,Business;Remit to,V004744,"10668 OAK CREST AVE
LAS VEGAS, NV  89144-5442",LAS VEGAS,USA,,YELLOW IRON PRODUCTS LLC,L000033418,NV,10668 OAK CREST AVE,,12/20/2019 05:05:37,12/31/2154 23:59:59,89144-5442,101
"ZAG TECHNICAL SERVICES, INC",Remit to,V004746,"PO BOX 640221
SAN JOSE, CA  95134-0221",SAN JOSE,USA,,"ZAG TECHNICAL SERVICES, INC",L000036304,CA,PO BOX 640221,,03/19/2018 14:43:48,12/31/2154 16:59:59,95134-0221,101
ZONGE INTERNATIONAL INC,Business;Remit to,V004747,"3322 E FORT KOWELL
TUCSON, AZ  85716-1639",TUCSON,USA,,ZONGE INTERNATIONAL INC,L000033423,AZ,3322 E FORT KOWELL,,12/20/2019 05:05:39,12/31/2154 23:59:59,85716-1639,101
ALZHEIMERS ASSOCIATION,Remit to,V004750,"25200 TELEGRAPH ROAD, STE 100
SOUTHFIELD, MI  48033",SOUTHFIELD,USA,,ALZHEIMERS ASSOCIATION,L000167656,MI,"25200 TELEGRAPH ROAD, STE 100",,03/22/2022 13:31:09,12/31/2154 23:59:59,48033,101
ALZHEIMERS ASSOCIATION,Business;Remit to,V004750,"564 S MAIN STREET SUITE 200
ANN ARBOR, MI  48104",ANN ARBOR,USA,,ALZHEIMERS ASSOCIATION,L000033427,MI,564 S MAIN STREET SUITE 200,,12/20/2019 05:05:40,12/31/2154 23:59:59,48104,101
AMERICAN RED CROSS,Business;Remit to,V004751,"5380 WEST FRANKLIN ROAD
BOISE, ID  83705",BOISE,USA,,AMERICAN RED CROSS & ITS CONSITUANT CHAPTERS AND BRANCHES,L000070542,ID,5380 WEST FRANKLIN ROAD,,03-04-2020 13:27,12/31/2154 23:59:59,83705,101
AMERICAN RED CROSS,Business;Remit to,V004751,"25688 NETWORK PLACE
CHICAGO, IL  60673-1256",CHICAGO,USA,,AMERICAN RED CROSS,L000048267,IL,25688 NETWORK PLACE,,12/20/2019 05:05:42,12/31/2154 23:59:59,60673-1256,101
AMERICAN RED CROSS,Business;Remit to,V004751,"PO BOX 4002018, C/O HAITI RELIEF & DEVELOPMENT
DES MOINES, IA  50340-2018",DES MOINES,USA,,AMERICAN RED CROSS,L000033429,IA,"PO BOX 4002018, C/O HAITI RELIEF & DEVELOPMENT",,03/19/2018 14:31:38,12/31/2154 16:59:59,50340-2018,101
BELLEVILLE AREA MUSEUM,Business;Remit to,V004752,"405 MAIN STREET
BELLEVILLE, MI  48111",BELLEVILLE,USA,,BELLEVILLE AREA MUSEUM,L000033430,MI,405 MAIN STREET,,12/20/2019 05:05:43,12/31/2154 23:59:59,48111,101
BELLEVILLE NATIONAL STRAWBERRY FESTIVAL,Business;Remit to,V004755,"PO BOX 768
BELLEVILLE, MI  48112",BELLEVILLE,USA,,BELLEVILLE NATIONAL STRAWBERRY FESTIVAL,L000036305,MI,PO BOX 768,,03/19/2018 14:43:49,12/31/2154 16:59:59,48112,101
BELLEVILLE NATIONAL STRAWBERRY FESTIVAL,Business;Remit to,V004755,"16129 BEATRICE
ALLEN PARK, MI  48101",ALLEN PARK,USA,,BELLEVILLE NATIONAL STRAWBERRY FESTIVAL,L000033433,MI,16129 BEATRICE,,12/20/2019 05:05:44,12/31/2154 23:59:59,48101,101
BILL SCHUETTE ADMINISTRATIVE ACCOUNT,Business;Remit to,V004757,"C/O GOVERNMENTAL CONSULTANT SERVICES, ONE MICHIGAN AVENUE, 120 N WASHINGTON SQUARE SUITE 110
LANSING, MI  48933",LANSING,USA,,BILL SCHUETTE ADMINISTRATIVE ACCOUNT,L000033435,MI,"C/O GOVERNMENTAL CONSULTANT SERVICES, ONE MICHIGAN AVENUE, 120 N WASHINGTON SQUARE SUITE 110",,12/20/2019 05:05:45,12/31/2154 23:59:59,48933,101
BOYS AND GIRLS CLUB,Business;Remit to,V004758,"629 LIGHT TOWER DRIVE
BELLEVILLE, MI  48111",BELLEVILLE,USA,,BOYS AND GIRLS CLUB,L000055189,MI,629 LIGHT TOWER DRIVE,,03/26/2019 09:02:52,12/31/2154 16:59:59,48111,101
BOYS AND GIRLS CLUB,Business;Remit to,V004758,"C/O ROBERT MCLACHLAN, 16268 WILDFOX COURT
ROMULUS, MI  48174",ROMULUS,USA,,BOYS AND GIRLS CLUB,L000033436,MI,"C/O ROBERT MCLACHLAN, 16268 WILDFOX COURT",,12/20/2019 05:05:45,12/31/2154 23:59:59,48174,101
CYSTIC FIBROSIS FOUNDATION NE PA CHAPTER,Business;Remit to,V004760,"1541 ALTA DRIVE STE 204
WHITEHALL, PA  18052",WHITEHALL,USA,,CYSTIC FIBROSIS FOUNDATION NE PA CHAPTER,L000033438,PA,1541 ALTA DRIVE STE 204,,12/20/2019 05:05:46,12/31/2154 23:59:59,18052,101
JUNIOR ACHIEVEMENT OF E CENTRAL OHIO,Business;Remit to,V004764,"4353 EXECUTIVE CIRCLE NW
CANTON, OH  44718-2999",CANTON,USA,,JUNIOR ACHIEVEMENT OF E CENTRAL OHIO,L000033446,OH,4353 EXECUTIVE CIRCLE NW,,12/20/2019 05:05:47,12/31/2154 23:59:59,44718-2999,101
REBEKAH WARREN ENVISION MICHIGAN FUND,Business;Remit to,V004767,"234 8TH ST
ANN ARBOR, MI  48103-4324",ANN ARBOR,USA,,REBEKAH WARREN ENVISION MICHIGAN FUND,L000044472,MI,234 8TH ST,,06/13/2018 08:51:46,12/31/2154 16:59:59,48103-4324,101
REBEKAH WARREN ENVISION MICHIGAN FUND,Business;Remit to,V004767,"C/O GCSI ONE MICHIGAN AVE, 120 N WASHINGTON SQUARE SUITE 110
LANSING, MI  48933",LANSING,USA,,REBEKAH WARREN ENVISION MICHIGAN FUND,L000033450,MI,"C/O GCSI ONE MICHIGAN AVE, 120 N WASHINGTON SQUARE SUITE 110",,12/20/2019 05:05:49,12/31/2154 23:59:59,48933,101
REINVENT MICHIGAN FUND,Business;Remit to,V004768,"ATTENTION: SENATOR JIM ANANICH
PO BOX 15161
LANSING, MI  48901-5161",LANSING,USA,,REINVENT MICHIGAN FUND,L000079536,MI,"ATTENTION: SENATOR JIM ANANICH
PO BOX 15161",,06/24/2020 18:00:05,12/31/2154 23:59:59,48901-5161,101
REINVENT MICHIGAN FUND,Business;Remit to,V004768,"C/O GOVERNMENTAL CONSULTANT SERVICES, ONE MICHIGAN AVENUE, 120 N WASHINGTON SQUARE SUITE 110
LANSING, MI  48933",LANSING,USA,,REINVENT MICHIGAN FUND,L000033451,MI,"C/O GOVERNMENTAL CONSULTANT SERVICES, ONE MICHIGAN AVENUE, 120 N WASHINGTON SQUARE SUITE 110",,12/20/2019 05:05:49,12/31/2154 23:59:59,48933,101
ROMULUS ARTS COUNCIL,Remit to,V004769,"CHIEF ALLISON, 28777 EUREKA ROAD
ROMULUS, MI  48174",ROMULUS,USA,,ROMULUS FIRE DEPARTMENT,L000036306,MI,"CHIEF ALLISON, 28777 EUREKA ROAD",,03/19/2018 14:43:49,12/31/2154 16:59:59,48174,101
ROMULUS ARTS COUNCIL,Business;Remit to,V004769,"11111 WAYNE RD
ROMULUS, MI  48174",ROMULUS,USA,,ROMULUS ARTS COUNCIL,L000033452,MI,11111 WAYNE RD,,12/20/2019 05:05:50,12/31/2154 23:59:59,48174,101
TAKING ACTION FOR GROWTH FUND,Business;Remit to,V004772,"C/O GOVERNMENTAL CONSULTANT SERVICES INC, ATTN KIM LAUCK, ONE MIGHIGAN AVENUE, 120 N WASHINGTON SQUARE SUITE 110
LANSING, MI  48933",LANSING,USA,,TAKING ACTION FOR GROWTH FUND,L000033455,MI,"C/O GOVERNMENTAL CONSULTANT SERVICES INC, ATTN KIM LAUCK, ONE MIGHIGAN AVENUE, 120 N WASHINGTON SQUARE SUITE 110",,12/20/2019 05:05:52,12/31/2154 23:59:59,48933,101
THIRD DISTRICT CHIEFS,Business;Remit to,V004773,"2828 FLOSSMOOR ROAD
FLOSSMOOR, IL  60422",FLOSSMOOR,USA,,THIRD DISTRICT CHIEFS,L000033456,IL,2828 FLOSSMOOR ROAD,,12/20/2019 05:05:53,12/31/2154 23:59:59,60422,101
AMANDA GRANADOS,Business;Remit to,V004777,"HC 69 BOX 497F
AMARGOSA VALLEY, NV  89020-9744",AMARGOSA VALLEY,USA,,AMANDA GRANADOS,L000033462,NV,HC 69 BOX 497F,,12/20/2019 05:05:54,12/31/2154 23:59:59,89020-9744,101
BEATTY HIGH SCHOOL,Business;Remit to,V004779,"PO BOX 806
BEATTY, NV  89003-0806",BEATTY,USA,,BEATTY HIGH SCHOOL,L000033466,NV,PO BOX 806,,12/20/2019 05:05:57,12/31/2154 23:59:59,89003-0806,101
BEATTY VOLUNTEER FIRE DEPARTMENT,Business;Remit to,V004781,"PO BOX 113
BEATTY, NV  89003-0113",BEATTY,USA,,BEATTY VOLUNTEER FIRE DEPARTMENT,L000033470,NV,PO BOX 113,,12/20/2019 05:05:58,12/31/2154 23:59:59,89003-0113,101
"BOARD OF REGENTS, UNIV OF NV",Business;Remit to,V004782,"STUDENT FINANCIAL SERVICES, 4505 MARYLAND PARKWAY
LAS VEGAS, NV  89154-2016",LAS VEGAS,USA,,"BOARD OF REGENTS, UNIV OF NV",L000033471,NV,"STUDENT FINANCIAL SERVICES, 4505 MARYLAND PARKWAY",,12/20/2019 05:05:59,12/31/2154 23:59:59,89154-2016,101
BOYS & GIRLS CLUB OF THE COASTAL BEND,Business;Remit to,V004783,"3902 GREENWOOD DR
CORPUS CHRISTI, TX  78416-1905",CORPUS CHRISTI,USA,,BOYS & GIRLS CLUB OF THE COASTAL BEND,L000033472,TX,3902 GREENWOOD DR,,12/20/2019 05:06:00,12/31/2154 23:59:59,78416-1905,101
BRAD LITTLE FOR IDAHO,Business;Remit to,V004784,"STATE CAPITOL BLDG
BOISE, ID  83720",BOISE,USA,,BRAD LITTLE FOR IDAHO: OFFICE OF LT GOVERNOR,L000033474,ID,STATE CAPITOL BLDG,,12/20/2019 05:06:02,12/31/2154 23:59:59,83720,101
COMMITTEE TO ELECT CHRISTY ZITO,Business;Remit to,V004788,"PO BOX 61
HAMMETT, ID  83627-0061",HAMMETT,USA,,COMMITTEE TO ELECT CHRISTY ZITO,L000033480,ID,PO BOX 61,,12/20/2019 05:06:03,12/31/2154 23:59:59,83627-0061,101
COMMITTEE TO ELECT CHUCK WINDER,Business;Remit to,V004789,"5528 N EBBETTS AVE
BOISE, ID  83713-1259",BOISE,USA,,COMMITTEE TO ELECT CHUCK WINDER,L000033481,ID,5528 N EBBETTS AVE,,12/20/2019 05:06:04,12/31/2154 23:59:59,83713-1259,101
COMMITTEE TO ELECT MATHEW ERPELDING,Business;Remit to,V004798,"PO BOX 1697
BOISE, ID  83701-1697",BOISE,USA,,COMMITTEE TO ELECT MATHEW ERPELDING,L000033490,ID,PO BOX 1697,,12/20/2019 05:09:39,12/31/2154 23:59:59,83701-1697,101
COMMITTEE TO ELECT MEGAN BLANKSMA,Business;Remit to,V004799,"PO BOX 843
MOUNTAIN HOME, ID  83647-0843",MOUNTAIN HOME,USA,,COMMITTEE TO ELECT MEGAN BLANKSMA,L000033491,ID,PO BOX 843,,12/20/2019 05:09:40,12/31/2154 23:59:59,83647-0843,101
COMMITTEE TO ELECT MIKE MOYLE,Business;Remit to,V004801,"480 N PLUMMER RD
STAR, ID  83669-5257",STAR,USA,,COMMITTEE TO ELECT MIKE MOYLE,L000033494,ID,480 N PLUMMER RD,,12/20/2019 05:09:44,12/31/2154 23:59:59,83669-5257,101
COMMITTEE TO ELECT SCOTT BEDKE,Business;Remit to,V004804,"PO BOX 89
OAKLEY, ID  83346-0089",OAKLEY,USA,,COMMITTEE TO ELECT SCOTT BEDKE,L000033497,ID,PO BOX 89,,12/20/2019 05:09:45,12/31/2154 23:59:59,83346-0089,101
COMPLETE OFFICE OF WASHINGTON,Remit to,V004808,"PO BOX 88379
SEATTLE, WA  98138-2379",SEATTLE,USA,,COMPLETE OFFICE OF WASHINGTON,L000036307,WA,PO BOX 88379,,03/19/2018 14:43:49,12/31/2154 16:59:59,98138-2379,101
COTTON COMMUNITY PARTNERSHIP,Business;Remit to,V004809,"101 E MAIN AVE
ROBSTOWN, TX  78380-3347",ROBSTOWN,USA,,COTTON COMMUNITY PARTNERSHIP,L000033503,TX,101 E MAIN AVE,,12/20/2019 05:09:48,12/31/2154 23:59:59,78380-3347,101
FUNDSY INC,Business;Remit to,V004812,"PO BOX 7126
BOISE, ID  83707-0126",BOISE,USA,,FUNDSY INC,L000033509,ID,PO BOX 7126,,12/20/2019 05:09:49,12/31/2154 23:59:59,83707-0126,101
GRAND VIEW AMERICAN LEGION POST 0134,Business;Remit to,V004815,"PO BOX 64
GRAND VIEW, ID  83624-0064",GRAND VIEW,USA,,GRAND VIEW AMERICAN LEGION POST 0134,L000033512,ID,PO BOX 64,,12/20/2019 05:09:50,12/31/2154 23:59:59,83624-0064,101
GRAND VIEW RURAL FIRE PRO DIST,Business;Remit to,V004817,"PO BOX 54
720 ROOSEVELT ST
GRAND VIEW, ID  83624",GRAND VIEW,USA,,GRAND VIEW RURAL FIRE PRO DIST,L000050002,ID,"PO BOX 54
720 ROOSEVELT ST",,12-04-2018 13:21,12/31/2154 16:59:59,83624,101
GRAND VIEW RURAL FIRE PRO DIST,Business;Remit to,V004817,"PO BOX 331
GRAND VIEW, ID  83624-0331",GRAND VIEW,USA,,GRAND VIEW RURAL FIRE PRO DIST: DBA GRAND VIEW YOUTH NIGHT,L000033515,ID,PO BOX 331,,12/20/2019 05:09:51,12/31/2154 23:59:59,83624-0331,101
HOMEDALE SENIOR CENTER,Business;Remit to,V004818,"PO BOX 848
HOMEDALE, ID  83628-0848",HOMEDALE,USA,,HOMEDALE SENIOR CENTER,L000033516,ID,PO BOX 848,,12/20/2019 05:09:52,12/31/2154 23:59:59,83628-0848,101
HOUSE REPUBLICAN CAUCUS,Business;Remit to,V004819,,,USA,,HOUSE REPUBLICAN CAUCUS,L000033518,,,,12/20/2019 05:09:53,12/31/2154 23:59:59,,101
MARSING JOINT SCHOOL DISTRICT,Business;Remit to,V004827,"PO BOX 340
MARSING, ID  83639-0340",MARSING,USA,,MARSING JOINT SCHOOL DISTRICT,L000033528,ID,PO BOX 340,,12/20/2019 05:09:54,12/31/2154 23:59:59,83639-0340,101
NYE COUNTY SCHOOL DISTRICT,Business;Remit to,V004833,"4201 N BLAGG RD
PAHRUMP, NV  89060-2678",PAHRUMP,USA,,NYE COUNTY SCHOOL DISTRICT: ROSEMARY CLARKE MIDDLE SCHOOL,L000036308,NV,4201 N BLAGG RD,,03/19/2018 14:43:49,12/31/2154 16:59:59,89060-2678,101
NYE COUNTY SCHOOL DISTRICT,Business;Remit to,V004833,"501 E CALVADA BLVD
PAHRUMP, NV  89048-5613",PAHRUMP,USA,,NYE COUNTY SCHOOL DISTRICT: PAHRUMP VALLEY HIGH SCHOOL,L000033538,NV,501 E CALVADA BLVD,,12/20/2019 05:09:55,12/31/2154 23:59:59,89048-5613,101
PENINSULA FUND,Business;Remit to,V004836,"ATTENTION: REP LEE CHATFIELD
201 TOWNSEND STREET, STE. 900
LANSING, MI  48933",LANSING,USA,,PENINSULA FUND,L000033544,MI,"ATTENTION: REP LEE CHATFIELD
201 TOWNSEND STREET, STE. 900",,06/24/2020 17:51:12,12/31/2154 23:59:59,48933,101
PROSPEROUS MICHIGAN FUND,Business;Remit to,V004837,,,USA,,PROSPEROUS MICHIGAN FUND,L000033545,,,,12/20/2019 05:09:58,12/31/2154 23:59:59,,101
RIMROCK BOOSTER CLUB,Remit to,V004842,"39678 STATE HIGHWAY 78
BRUNEAU, ID  83604-5131",BRUNEAU,USA,,RIMROCK JUNIOR SENIOR HIGH SCHOOL,L000036310,ID,39678 STATE HIGHWAY 78,,03/19/2018 14:43:49,12/31/2154 16:59:59,83604-5131,101
RIMROCK BOOSTER CLUB,Business;Remit to,V004842,"39678 STATE HIGHWAY 78
BRUNEAU, ID  83604-5131",BRUNEAU,USA,,RIMROCK BOOSTER CLUB,L000033551,ID,39678 STATE HIGHWAY 78,,12/20/2019 05:09:59,12/31/2154 23:59:59,83604-5131,101
RIMROCK SENIOR CITIZEN CENTER,Business;Remit to,V004843,"PO BOX 453
GRAND VIEW, ID  83624-0453",GRAND VIEW,USA,,RIMROCK SENIOR CITIZEN CENTER,L000033552,ID,PO BOX 453,,12/20/2019 05:10:00,12/31/2154 23:59:59,83624-0453,101
SCOTT DIANDA FOR A SUPERIOR MI,Business;Remit to,V004848,,,USA,,SCOTT DIANDA FOR A SUPERIOR MI,L000033561,,,,12/20/2019 05:10:01,12/31/2154 23:59:59,,101
SENATE REPUBLICAN PAC OF IDAHO,Business;Remit to,V004849,,,USA,,SENATE REPUBLICAN PAC OF IDAHO,L000033562,,,,12/20/2019 05:10:02,12/31/2154 23:59:59,,101
STEP FORWARD COMMITTEE,Business;Remit to,V004851,,,USA,,STEP FORWARD COMMITTEE,L000033565,,,,12/20/2019 05:10:03,12/31/2154 23:59:59,,101
12TH DISTRICT COURT,Business;Remit to,V004869,"310 S JACKSON STREET
JACKSON, MI  49201",JACKSON,USA,,12TH DISTRICT COURT,L000033591,MI,310 S JACKSON STREET,,12/20/2019 05:05:52,12/31/2154 23:59:59,49201,101
16TH DISTRICT COURT,Business;Remit to,V004870,"32765 FIVE MILE ROAD
LIVONIA, MI  48154",LIVONIA,USA,,16TH DISTRICT COURT,L000033592,MI,32765 FIVE MILE ROAD,,12/20/2019 05:05:53,12/31/2154 23:59:59,48154,101
ACCOUNT #020419,Business;Remit to,V004871,"PERMIT FEE WINDOW, US POSTAL SERVICE, PO BOX 553221
BOSTON, MA  02205-3221",BOSTON,USA,,ACCOUNT #020419,L000033593,MA,"PERMIT FEE WINDOW, US POSTAL SERVICE, PO BOX 553221",,12/20/2019 05:05:54,12/31/2154 23:59:59,02205-3221,101
ALABAMA DEPARTMENT OF ENV. MANAGEMENT,Remit to,V004872,"PO BOX 301463
MONTGOMERY, AL  36130-1463",MONTGOMERY,USA,,ALABAMA DEPARTMENT OF ENV. MANAGEMENT,L000048531,AL,PO BOX 301463,,10/19/2018 10:09:48,12/31/2154 16:59:59,36130-1463,101
ALABAMA DEPARTMENT OF ENV. MANAGEMENT,Business;Remit to,V004872,"1400 COLISEUM BLVD
MONTGOMERY, AL  36130-1463",MONTGOMERY,USA,,ALABAMA DEPARTMENT OF ENV. MANAGEMENT,L000033594,AL,1400 COLISEUM BLVD,,12/20/2019 05:05:57,12/31/2154 23:59:59,36130-1463,101
ALABAMA DEPARTMENT OF REVENUE,Remit to,V004873,"50 N RIPLEY ST
MONTGOMERY, AL  36130-1001",MONTGOMERY,USA,,ALABAMA DEPARTMENT OF REVENUE,L000044439,AL,50 N RIPLEY ST,,06-12-2018 12:06,12/31/2154 16:59:59,36130-1001,101
ALABAMA DEPARTMENT OF REVENUE,Business;Remit to,V004873,"BUSINESS PRIVILEGE TAX SECTION, PO BOX 327320
MONTGOMERY, AL  36132-7320",MONTGOMERY,USA,,ALABAMA DEPARTMENT OF REVENUE,L000033596,AL,"BUSINESS PRIVILEGE TAX SECTION, PO BOX 327320",,12/20/2019 05:05:58,12/31/2154 23:59:59,36132-7320,101
ALABAMA DEPT OF REVENUE,Business;Remit to,V004874,"ATTN BUSINESS PRIVILEGE TAX SECTION, PO BOX 327320
MONTGOMERY, AL  36132-7320",MONTGOMERY,USA,,ALABAMA DEPT OF REVENUE,L000033597,AL,"ATTN BUSINESS PRIVILEGE TAX SECTION, PO BOX 327320",,12/20/2019 05:06:14,12/31/2154 23:59:59,36132-7320,101
ALLEGHENY COUNTY AIRPORT AUTHORITY,Remit to,V004875,"PO BOX 642623
PITTSBURGH, PA  15264-2623",PITTSBURGH,USA,,ALLEGHENY COUNTY AIRPORT AUTHORITY,L000036317,PA,PO BOX 642623,,03/19/2018 14:43:50,12/31/2154 16:59:59,15264-2623,101
ALLEGHENY COUNTY AIRPORT AUTHORITY,Business;Remit to,V004875,"LANDSIDE TERMINAL SUITE 4000, PO BOX 12370
PITTSBURGH, PA  15231-0370",PITTSBURGH,USA,,ALLEGHENY COUNTY AIRPORT AUTHORITY,L000033598,PA,"LANDSIDE TERMINAL SUITE 4000, PO BOX 12370",,12/20/2019 05:06:15,12/31/2154 23:59:59,15231-0370,101
ALLEGHENY COUNTY DEPARTMENT OF EMERGENCY,Business;Remit to,V004876,"MCU 33010003, 400 NORTH LEXINGTON STREET SUITE 200
PITTSBURGH, PA  15208-2550",PITTSBURGH,USA,,ALLEGHENY COUNTY DEPARTMENT OF EMERGENCY,L000033600,PA,"MCU 33010003, 400 NORTH LEXINGTON STREET SUITE 200",,12/20/2019 05:06:16,12/31/2154 23:59:59,15208-2550,101
ARKANSAS DEPARTMENT OF TRANSPORTATION,Business;Remit to,V004877,"10324 INTERSTATE 30
LITTLE ROCK, AR  72209",LITTLE ROCK,USA,,ARKANSAS DEPARTMENT OF TRANSPORTATION,L000033602,AR,10324 INTERSTATE 30,,12/20/2019 05:06:18,12/31/2154 23:59:59,72209,101
ARKANSAS HIGHWAY & TRANS. DEPT.,Business;Remit to,V004878,"ATTN: HAZARDOUS WASTE PO BOX 2779
LITTLE ROCK, AR  72203",LITTLE ROCK,USA,,ARKANSAS DEPT OF TRANSPORTION,L000277719,AR,ATTN: HAZARDOUS WASTE PO BOX 2779,,08-11-2023 00:00,12/31/2154 00:00:00,72203,101
ARKANSAS HIGHWAY & TRANS. DEPT.,Business;Remit to,V004878,"PO BOX 2779
LITTLE ROCK, AR  72209",LITTLE ROCK,USA,,ARKANSAS HIGHWAY & TRANS. DEPT.,L000033603,AR,PO BOX 2779,,12/20/2019 05:06:19,12/31/2154 23:59:59,72209,101
ARKANSAS STATE HWY & TRANS DEPT,Business;Remit to,V004879,"ATTN: YOLANDA GOMILLION, PO BOX 2779
LITTLE ROCK, AR  72203-2779",LITTLE ROCK,USA,,ARKANSAS STATE HWY & TRANS DEPT,L000033604,AR,"ATTN: YOLANDA GOMILLION, PO BOX 2779",,12/20/2019 05:06:20,12/31/2154 23:59:59,72203-2779,101
AUGUSTA CHARTER TOWNSHIP,Business;Remit to,V004880,"SUSAN BUREK TREASURER, 8021 TALLADAY ROAD, PO BOX 100
WHITTAKER, MI  48190",WHITTAKER,USA,,AUGUSTA CHARTER TOWNSHIP,L000033605,MI,"SUSAN BUREK TREASURER, 8021 TALLADAY ROAD, PO BOX 100",,12/20/2019 05:06:21,12/31/2154 23:59:59,48190,101
AUGUSTA UTILITIES DEPARTMENT,Business;Remit to,V004881,"P. O. BOX 1457
AUGUSTA, GA  30903-1457",AUGUSTA,USA,,AUGUSTA UTILITIES DEPARTMENT,L000033606,GA,P. O. BOX 1457,,12/20/2019 05:06:22,12/31/2154 23:59:59,30903-1457,101
BAYONNE CHAMBER OF COMMERCE,Business;Remit to,V004882,"PO BOX 266
BAYONNE, NJ  07002",BAYONNE,USA,,BAYONNE CHAMBER OF COMMERCE,L000033608,NJ,PO BOX 266,,12/20/2019 05:06:23,12/31/2154 23:59:59,07002,101
BGE,Business;Remit to,V004883,"P O BOX 13070
PHILADELPHIA, PA  19101",PHILADELPHIA,USA,,BGE,L000033609,PA,P O BOX 13070,,12/20/2019 05:06:25,12/31/2154 23:59:59,19101,101
